Fecha Último Apert.  Dif. Máx. Mín. Volumen
26/3/13 406.25 406.4 0.4  406.94 403.92 295414
25/3/13 404.82 406.09 -0.1  409.62 403.44 972072
22/3/13 405.16 407.55 -0.1  407.62 404.83 857194
21/3/13 405.63 405.65 -0.4  408.39 405.01 668418
20/3/13 407.07 408.75 0.3  408.76 405.72 809674
19/3/13 405.72 405.62 0.5  409.56 403.29 866626
18/3/13 403.9 402.5 -0.9  406.37 400.78 1148640
15/3/13 407.47 408.93 -0.8  410.15 406.67 2655970
14/3/13 410.77 413.5 -0.5  413.5 408.75 872030
13/3/13 412.66 413.95 -0.3  415.34 411.2 925406
12/3/13 413.81 415.69 -0.9  415.87 411.92 1160462
11/3/13 417.41 416.04 0.4  419.85 415.76 749930
8/3/13 415.76 417.42 -0.1  417.42 412.53 1230864
7/3/13 416.34 417.01 0.2  418.31 414.86 858182
6/3/13 415.69 421.01 -0.9  422 414.41 1478874
5/3/13 419.34 414.47 2.1  420.06 414.45 1962434
4/3/13 410.56 402.65 1.9  411.4 402.5 1435866
1/3/13 403.1 398.9 0.6  403.55 398.08 1015060
28/2/13 400.6 400.63 0.2  403.46 400.6 1354320
27/2/13 399.89 397.4 1.2  402.38 395.56 977622
26/2/13 395.07 397.38 -0.1  397.89 392.26 1068540
25/2/13 395.39 400.97 -1.1  404.21 395.25 1207154
22/2/13 399.86 399.63 0.5  400.63 396.91 1126474
21/2/13 397.77 399.03 0.4  402.66 395.61 1789936
20/2/13 396.23 402.65 -1.8  404.43 396.01 1398466
19/2/13 403.43 398 1.7  403.5 397.71 1498476
15/2/13 396.59 393.7 0.7  396.59 393.64 1810820
14/2/13 393.91 389.53 0.6  394.35 388.89 878960
13/2/13 391.43 390.07 0.3  392.64 389.99 720134
12/2/13 390.35 390.58 -0.2  393.94 389.7 936206
11/2/13 391.21 389.2 -0.4  391.5 386.93 1163930
8/2/13 392.69 390 1.5  393.3 389.89 1488116
7/2/13 386.98 384.85 0.5  389.36 382.77 1430080
6/2/13 385.09 379.44 0.6  386.48 379.29 1242292
5/2/13 382.87 380.54 0.9  385.55 379.83 965896
4/2/13 379.51 383.92 -2.1  385.21 379.15 1551286
1/2/13 387.8 379.1 2.6  388.3 379.05 2129572
31/1/13 377.85 375.26 0.2  378.81 375.15 1014054
30/1/13 376.92 376.87 0.0  380.48 376.5 894812
29/1/13 376.84 373.5 0.4  378.44 373.5 889408
28/1/13 375.37 375.88 -0.4  377.72 373.95 890646
25/1/13 376.84 375.39 -0.0  379.12 375.13 1275746
24/1/13 376.92 370.3 1.7  378.36 370.3 1525750
23/1/13 370.75 367.92 5.5  374.5 367.91 2827426
22/1/13 351.44 352.5 -0.3  352.67 347.77 2060392
18/1/13 352.48 354.72 -0.9  356.29 350.71 1967138
17/1/13 355.66 358.97 -0.5  359.82 355.55 992052
